word,frequency
dumatubun,20
hukum,20
jaring,20
b2b,20
tentu,20
cakup,20
purin,20
republik,20
ungkap,20
wartawan,19
sampel,19
kasih,19
zero,19
emission,19
baca,19
ekosistem,19
oil,19
ahmad,19
bebas,19
honda,19
nikmat,19
inisiatif,19
obat,19
percaya,19
mampu,19
berita,19
saran,19
racun,19
ojol,19
sambung,19
rasa,19
vitamin,19
efisien,19
transportasi,19
langka,19
net,18
konsep,18
todotua,18
sulfur,18
realisasi,18
aren,18
efektif,18
pasti,18
sdm,18
kering,18
model,18
hidro,18
lihat,18
untung,18
timbal,18
konversi,18
gram,18
adopsi,18
hewan,18
cpo,18
nama,18
camat,18
b40,18
tara,18
bayang,18
rspo,18
minta,18
jelas,18
keanekaragaman,18
gabung,17
koordinasi,17
teknik,17
e85,17
kaca,17
tanggung,17
guru,17
netralitas,17
mandatory,17
operasional,17
eniya,17
lelang,17
tersangka,17
timbang,17
pabrikan,17
95.,17
adu,17
edukasi,17
bau,17
ketat,17
teh,17
adang,17
tolak,17
pulau,17
penting,17
cita,17
khalayak,17
selamat,17
sarinah,17
mata,17
khusus,17
jangka,16
petrokimia,16
volume,16
jabat,16
unit,16
surabaya,16
pimpin,16
enam,16
terbit,16
sarmuji,16
musim,16
ash,16
kaki,16
itb,16
picu,16
anggota,16
operasi,16
klaim,16
limbah,16
maaf,16
soda,16
mitsubishi,16
mohon,16
japan,16
protein,16
sambut,16
unggul,16
akademisi,16
merek,16
mitra,16
jangkau,16
lapis,16
pikir,16
cerna,16
stasiun,15
ronny,15
2060,15
pakat,15
izin,15
jerami,15
posisi,15
awas,15
hangat,15
situ,15
daun,15
aloysius,15
sempat,15
pupuk,15
tempuh,15
putih,15
mini,15
kelompok,15
ekologis,15
goreng,15
fleksibel,15
destinator,15
tropis,15
murah,15
danantara,15
naik,15
tanda,15
mutu,15
tantang,15
fenomena,15
matang,15
api,15
area,15
bph,15
enak,15
institut,15
keras,15
sinergi,15
detiksore,15
venture,15
bahas,15
bahaya,15
faktor,15
mogok,15
show,15
selang,15
nila,15
miliar,15
rokok,15
sekretaris,14
birokrasi,14
minerba,14
reda,14
legowo,14
segar,14
kriteria,14
gelar,14
putra,14
vario,14
diskusi,14
sukses,14
nutrisi,14
tampil,14
bayam,14
selesai,14
mekanik,14
kendala,14
cassava,14
batuk,14
terus,14
kunjung,14
mantiri,14
lahir,14
hari,14
location,14
berat,14
aspek,14
usul,14
lancar,14
tetangga,14
benar,14
ledak,14
indikasi,14
ingrid,14
tahun,14
verifikasi,14
brazil,14
periode,14
wisnu,14
non,14
dkk,14
desain,14
fakultas,14
jaksa,14
dpp,14
istilah,14
and,14
dpd,13
koperasi,13
cerita,13
kosong,13
minimal,13
paksa,13
formulasi,13
surat,13
suhu,13
unik,13
pencil,13
biar,13
rebus,13
center,13
efisiensi,13
tua,13
aditif,13
director,13
satwa,13
susun,13
serah,13
apresiasi,13
tawar,13
hambat,13
lintas,13
azam,13
publikasi,13
larut,13
umum,13
karbohidrat,13
bakteri,13
palm,13
ambang,13
lazim,13
mbak,13
semangat,13
wib,13
e30,13
kunthi,13
ladang,13
atas,13
vehicle,13
lebih,13
kompatibel,13
hidrogen,13
gibran,13
rekomendasi,13
saji,13
khas,12
kelas,12
iya,12
blending,12
oplos,12
tunggu,12
narkoba,12
sodikin,12
merauke,12
bojonegoro,12
karet,12
insyaallah,12
bal,12
sholat,12
muka,12
asia,12
nada,12
super,12
tepung,12
saing,12
pekan,12
hindar,12
ilmu,12
300,12
purbaya,12
nyala,12
komersial,12
prioritas,12
hadap,12
pathway,12
konkret,12
luncur,12
ekstrak,12
tetes,12
batu,12
daulat,12
research,12
simak,12
euro,12
ekspor,12
agenda,12
panas,12
ethanol,12
jamin,12
mou,12
vanda,12
100persen,12
sederhana,12
dosen,12
oksigen,12
sempurna,12
singkat,12
november,12
meter,12
2020,12
2000,12
multi,12
lembaga,11
umkm,11
buru,11
china,11
deteksi,11
bahasa,11
lansir,11
produsen,11
detikfinance,11
manager,11
teks,11
laman,11
bumn,11
biji,11
potong,11
dingin,11
aroma,11
fronx,11
cop30,11
lebar,11
kontaminan,11
korosi,11
ahli,11
ancam,11
tuang,11
normal,11
direktorat,11
ligas,11
paranura,11
ujung,11
mobilitas,11
konfirmasi,11
bank,11
practice,11
buncis,11
molase,11
gasoline,11
join,11
formula,11
ppn,11
adik,11
botol,11
bayar,11
dokumen,11
hasan,11
dekat,11
damping,11
kunci,11
roda,11
koordinator,11
sustainable,11
zulkifli,11
kukuh,11
pasuruan,11
best,11
national,11
buruk,11
aktif,11
produktivitas,11
stabil,11
selaras,11
tuntut,10
dewi,10
iring,10
rujuk,10
depan,10
injeksi,10
2010,10
lambat,10
serang,10
ringan,10
simbol,10
ilegal,10
oleh,10
gizi,10
kalori,10
avanza,10
prosedur,10
istri,10
tangerang,10
viral,10
paprika,10
cukai,10
brokoli,10
gunung,10
fasilitas,10
liar,10
youtube,10
diare,10
mahasiswa,10
suami,10
dprd,10
maju,10
muhammad,10
aktivitas,10
detikcom,10
baur,10
kimia,10
budi,10
john,10
pura,10
lambung,10
datar,10
serius,10
sukabumi,10
detikjabar,10
tmmin,10
aneka,10
bagi,10
nuklir,10
bbn,10
gelas,10
rifqi,10
2021,10
tiga,10
saksi,10
pasal,9
visual,9
inti,9
perut,9
kalimat,9
kejar,9
brian,9
sadar,9
lantas,9
2030,9
jamu,9
polusi,9
2022,9
ucap,9
dakwa,9
limpah,9
sumbang,9
insentif,9
skema,9
manusia,9
syarat,9
perkara,9
serta,9
tari,9
kacang,9
moga,9
berangkat,9
kampung,9
pisah,9
2029,9
yamaha,9
antisipasi,9
muda,9
henti,9
visi,9
125,9
anas,9
jms,9
apa,9
kuartal,9
minat,9
juli,9
pokok,9
badung,9
dagang,9
habitat,9
tipe,9
kabar,9
kemenko,9
nusron,9
bekas,9
lepas,9
sikap,9
2028,9
dana,9
sengat,9
digital,9
palsu,9
rupiah,9
290,9
dirjen,9
modifikasi,9
halal,9
cerdas,9
pidato,9
karat,9
cenderung,9
dah,9
masalah,9
integrasi,9
lawan,9
hormat,9
power,9
karakteristik,9
kumpul,9
alir,9
material,9
khamr,9
sidang,9
kanal,9
tembus,8
corporation,8
investor,8
alokasi,8
konsisten,8
higroskopis,8
adaptif,8
avtur,8
tenggara,8
respons,8
importir,8
kau,8
nyaman,8
agus,8
juang,8
ilmiah,8
dirgantara,8
profesor,8
gambas,8
akun,8
kiloliter,8
amat,8
aksi,8
tema,8
diam,8
kertanegara,8
ratas,8
aset,8
for,8
jernih,8
balikpapan,8
dol,8
kol,8
ideal,8
crude,8
monokultur,8
trading,8
hidrokarbon,8
curah,8
surveyor,8
janji,8
iritasi,8
kalang,8
judul,8
korea,8
jabar,8
kendali,8
